vocab_size,split,step,tokens_seen,bpb,loss
8192,train,0,131072,3.2038278848010266,9.011229515075684
8192,train,1,262144,3.2107868411878338,9.007156372070312
8192,train,2,393216,3.220789514212646,8.99833869934082
8192,train,3,524288,3.253504030928275,8.986034393310547
8192,train,4,655360,3.175107115371743,8.96544361114502
8192,train,5,786432,3.188137446078981,8.935606002807617
8192,train,6,917504,3.1648085181354038,8.898567199707031
8192,train,7,1048576,3.1259256416448777,8.816186904907227
8192,train,8,1179648,3.092523608853793,8.716851234436035
8192,train,9,1310720,3.0280476014581374,8.58334732055664
8192,train,10,1441792,2.969903810302161,8.347402572631836
8192,train,11,1572864,2.8740505160528125,8.139436721801758
8192,train,12,1703936,2.7852609812124904,7.910975933074951
8192,train,13,1835008,2.7257137794397788,7.636240482330322
8192,train,14,1966080,2.6677169463275687,7.324509143829346
8192,train,15,2097152,2.6060970454904266,7.228268623352051
8192,train,16,2228224,2.5329131892628953,7.112240791320801
8192,train,17,2359296,2.4506756043024605,6.9027228355407715
8192,train,18,2490368,2.4329748468587793,6.846912384033203
8192,train,19,2621440,2.353212220540219,6.633368492126465
8192,train,20,2752512,2.378095244204255,6.5810017585754395
8192,train,21,2883584,2.355176197375099,6.631939888000488
8192,train,22,3014656,2.269504725633455,6.412586212158203
8192,train,23,3145728,2.261151236398196,6.365266799926758
8192,train,24,3276800,2.2626774135148224,6.181349754333496
8192,train,25,3407872,2.169630208265077,6.181041717529297
8192,train,26,3538944,2.1958595509104883,6.025786399841309
8192,train,27,3670016,2.185753387836073,5.988227844238281
8192,train,28,3801088,2.1483399547503246,6.043233871459961
8192,train,29,3932160,2.1303757990973815,5.978393077850342
8192,train,30,4063232,2.104588925799036,5.965936183929443
8192,train,31,4194304,2.128764010082499,5.918718338012695
8192,train,32,4325376,2.0825084975131034,5.774505615234375
8192,train,33,4456448,2.117203473680083,5.808600425720215
8192,train,34,4587520,2.0480624868207125,5.766872882843018
8192,train,35,4718592,2.045446820781995,5.841300010681152
8192,train,36,4849664,2.0643999352442157,5.758785247802734
8192,train,37,4980736,2.021883027132405,5.655595302581787
8192,train,38,5111808,2.0288273247373696,5.679277420043945
8192,train,39,5242880,2.01150067293059,5.603618144989014
8192,train,40,5373952,2.0095589121787873,5.59477424621582
8192,train,41,5505024,2.030485341064445,5.772415637969971
8192,train,42,5636096,1.9951067002775826,5.676990032196045
8192,train,43,5767168,1.958333566387633,5.476922512054443
8192,train,44,5898240,1.9974696322636387,5.5999298095703125
8192,train,45,6029312,2.0073308796800724,5.564186096191406
8192,train,46,6160384,2.0094941452166974,5.582763195037842
