2026-09-10 21:50:54,852 - nanochat.common - [32m[1mINFO[0m - Distributed world size: 1

                                                       █████                █████
                                                      ░░███                ░░███
     ████████    ██████   ████████    ██████   ██████  ░███████    ██████  ███████
    ░░███░░███  ░░░░░███ ░░███░░███  ███░░███ ███░░███ ░███░░███  ░░░░░███░░░███░
     ░███ ░███   ███████  ░███ ░███ ░███ ░███░███ ░░░  ░███ ░███   ███████  ░███
     ░███ ░███  ███░░███  ░███ ░███ ░███ ░███░███  ███ ░███ ░███  ███░░███  ░███ ███
     ████ █████░░████████ ████ █████░░██████ ░░██████  ████ █████░░███████  ░░█████
    ░░░░ ░░░░░  ░░░░░░░░ ░░░░ ░░░░░  ░░░░░░   ░░░░░░  ░░░░ ░░░░░  ░░░░░░░░   ░░░░░
    
Autodetected device type: cuda
GPU: NVIDIA GeForce RTX 3090 | Peak FLOPS (BF16): 7.10e+13
COMPUTE_DTYPE: torch.bfloat16 (auto-detected: CUDA SM 86 (bf16 supported))
✓ Using Flash Attention 3: efficient, new and awesome.
Vocab size: 32,768
Model config:
{
  "sequence_len": 2048,
  "vocab_size": 32768,
  "n_layer": 2,
  "n_head": 1,
  "n_kv_head": 1,
  "n_embd": 128,
  "window_pattern": "SSSL"
}
Parameter counts:
wte                     : 4,194,304
value_embeds            : 4,194,304
lm_head                 : 4,194,304
transformer_matrices    : 393,228
scalars                 : 30
total                   : 12,976,170
Estimated FLOPs per token: 3.145750e+07
Auto-computed optimal batch size: 131,072 tokens
Scaling LRs by 0.5000 for batch size 131,072 (reference: 524,288)
Scaling weight decay from 0.280000 to 3.360004 for depth 2
Scaling the LR for the AdamW parameters ∝1/√(128/768) = 2.449490

================================================================================
  WARNING: DATASET UPGRADE REQUIRED
================================================================================

  Could not find: /local/s4414268/nanochat/results/task2_models/vocab_32768/base_data_climbmix

  nanochat recently switched from FinewebEdu-100B to ClimbMix-400B.
  Everyone who does `git pull` as of March 4, 2026 is expected to see this message.
  To upgrade to the new ClimbMix-400B dataset, run these two commands:

    python -m nanochat.dataset -n 170     # download ~170 shards, enough for GPT-2, adjust as desired
    python -m scripts.tok_train           # re-train tokenizer on new ClimbMix data

  For now, falling back to your old FinewebEdu-100B dataset...
================================================================================

Calculated number of iterations from target data:param ratio: 420
Total number of training tokens: 55,050,240
Tokens : Scaling params ratio: 12.00
Total training FLOPs estimate: 1.731743e+15
Tokens / micro-batch / rank: 32 x 2048 = 65,536
Tokens / micro-batch: 65,536
Total batch size 131,072 => gradient accumulation steps: 2
Step 00000 | Validation bpb: 3.171925
step 00000/00420 (0.00%) | loss: 10.397244 | lrm: 0.03 | dt: 18147.06ms | tok/sec: 7,222 | bf16_mfu: 0.32 | epoch: 1 pq: 0 rg: 1 | total time: 0.00m
step 00001/00420 (0.24%) | loss: 10.394967 | lrm: 0.05 | dt: 196.54ms | tok/sec: 666,913 | bf16_mfu: 29.55 | epoch: 1 pq: 0 rg: 1 | total time: 0.00m
step 00002/00420 (0.48%) | loss: 10.390917 | lrm: 0.07 | dt: 172.26ms | tok/sec: 760,890 | bf16_mfu: 33.71 | epoch: 1 pq: 0 rg: 1 | total time: 0.00m
step 00003/00420 (0.71%) | loss: 10.384417 | lrm: 0.10 | dt: 140.57ms | tok/sec: 932,450 | bf16_mfu: 41.31 | epoch: 1 pq: 0 rg: 1 | total time: 0.00m
step 00004/00420 (0.95%) | loss: 10.374795 | lrm: 0.12 | dt: 196.38ms | tok/sec: 667,433 | bf16_mfu: 29.57 | epoch: 1 pq: 0 rg: 2 | total time: 0.00m
step 00005/00420 (1.19%) | loss: 10.360100 | lrm: 0.15 | dt: 181.26ms | tok/sec: 723,097 | bf16_mfu: 32.04 | epoch: 1 pq: 0 rg: 2 | total time: 0.00m
step 00006/00420 (1.43%) | loss: 10.338918 | lrm: 0.17 | dt: 172.21ms | tok/sec: 761,121 | bf16_mfu: 33.72 | epoch: 1 pq: 0 rg: 2 | total time: 0.00m
step 00007/00420 (1.67%) | loss: 10.308380 | lrm: 0.20 | dt: 160.83ms | tok/sec: 814,977 | bf16_mfu: 36.11 | epoch: 1 pq: 0 rg: 2 | total time: 0.00m
step 00008/00420 (1.90%) | loss: 10.263479 | lrm: 0.23 | dt: 180.40ms | tok/sec: 726,562 | bf16_mfu: 32.19 | epoch: 1 pq: 0 rg: 2 | total time: 0.00m
step 00009/00420 (2.14%) | loss: 10.195960 | lrm: 0.25 | dt: 196.13ms | tok/sec: 668,296 | bf16_mfu: 29.61 | epoch: 1 pq: 0 rg: 3 | total time: 0.00m
step 00010/00420 (2.38%) | loss: 10.106368 | lrm: 0.28 | dt: 182.00ms | tok/sec: 720,164 | bf16_mfu: 31.91 | epoch: 1 pq: 0 rg: 3 | total time: 0.00m
step 00011/00420 (2.62%) | loss: 9.990817 | lrm: 0.30 | dt: 151.10ms | tok/sec: 867,430 | bf16_mfu: 38.43 | epoch: 1 pq: 0 rg: 3 | total time: 0.00m | eta: 1.0m
step 00012/00420 (2.86%) | loss: 9.848315 | lrm: 0.33 | dt: 248.92ms | tok/sec: 526,558 | bf16_mfu: 23.33 | epoch: 1 pq: 0 rg: 4 | total time: 0.01m | eta: 1.4m
step 00013/00420 (3.10%) | loss: 9.689305 | lrm: 0.35 | dt: 167.22ms | tok/sec: 783,807 | bf16_mfu: 34.73 | epoch: 1 pq: 0 rg: 4 | total time: 0.01m | eta: 1.3m
step 00014/00420 (3.33%) | loss: 9.518288 | lrm: 0.38 | dt: 207.48ms | tok/sec: 631,739 | bf16_mfu: 27.99 | epoch: 1 pq: 0 rg: 4 | total time: 0.01m | eta: 1.3m
step 00015/00420 (3.57%) | loss: 9.336578 | lrm: 0.40 | dt: 216.86ms | tok/sec: 604,405 | bf16_mfu: 26.78 | epoch: 1 pq: 0 rg: 4 | total time: 0.02m | eta: 1.3m
step 00016/00420 (3.81%) | loss: 9.160807 | lrm: 0.42 | dt: 175.67ms | tok/sec: 746,105 | bf16_mfu: 33.06 | epoch: 1 pq: 0 rg: 5 | total time: 0.02m | eta: 1.3m
step 00017/00420 (4.05%) | loss: 8.982514 | lrm: 0.45 | dt: 159.61ms | tok/sec: 821,206 | bf16_mfu: 36.38 | epoch: 1 pq: 0 rg: 5 | total time: 0.02m | eta: 1.3m
step 00018/00420 (4.29%) | loss: 8.824646 | lrm: 0.47 | dt: 181.08ms | tok/sec: 723,834 | bf16_mfu: 32.07 | epoch: 1 pq: 0 rg: 5 | total time: 0.03m | eta: 1.3m
step 00019/00420 (4.52%) | loss: 8.676988 | lrm: 0.50 | dt: 198.84ms | tok/sec: 659,195 | bf16_mfu: 29.21 | epoch: 1 pq: 0 rg: 5 | total time: 0.03m | eta: 1.3m
step 00020/00420 (4.76%) | loss: 8.525127 | lrm: 0.53 | dt: 205.46ms | tok/sec: 637,951 | bf16_mfu: 28.27 | epoch: 1 pq: 0 rg: 6 | total time: 0.03m | eta: 1.3m
step 00021/00420 (5.00%) | loss: 8.387566 | lrm: 0.55 | dt: 204.59ms | tok/sec: 640,658 | bf16_mfu: 28.39 | epoch: 1 pq: 0 rg: 6 | total time: 0.04m | eta: 1.3m
step 00022/00420 (5.24%) | loss: 8.248804 | lrm: 0.57 | dt: 204.08ms | tok/sec: 642,250 | bf16_mfu: 28.46 | epoch: 1 pq: 0 rg: 6 | total time: 0.04m | eta: 1.3m
step 00023/00420 (5.48%) | loss: 8.121320 | lrm: 0.60 | dt: 193.27ms | tok/sec: 678,185 | bf16_mfu: 30.05 | epoch: 1 pq: 0 rg: 6 | total time: 0.04m | eta: 1.3m
step 00024/00420 (5.71%) | loss: 8.000967 | lrm: 0.62 | dt: 207.50ms | tok/sec: 631,667 | bf16_mfu: 27.99 | epoch: 1 pq: 0 rg: 7 | total time: 0.05m | eta: 1.3m
step 00025/00420 (5.95%) | loss: 7.883700 | lrm: 0.65 | dt: 189.17ms | tok/sec: 692,871 | bf16_mfu: 30.70 | epoch: 1 pq: 0 rg: 7 | total time: 0.05m | eta: 1.3m
step 00026/00420 (6.19%) | loss: 7.771530 | lrm: 0.68 | dt: 189.76ms | tok/sec: 690,740 | bf16_mfu: 30.60 | epoch: 1 pq: 0 rg: 7 | total time: 0.05m | eta: 1.3m
step 00027/00420 (6.43%) | loss: 7.666262 | lrm: 0.70 | dt: 152.56ms | tok/sec: 859,149 | bf16_mfu: 38.07 | epoch: 1 pq: 0 rg: 7 | total time: 0.05m | eta: 1.3m
step 00028/00420 (6.67%) | loss: 7.567393 | lrm: 0.72 | dt: 256.37ms | tok/sec: 511,255 | bf16_mfu: 22.65 | epoch: 1 pq: 0 rg: 8 | total time: 0.06m | eta: 1.3m
step 00029/00420 (6.90%) | loss: 7.474452 | lrm: 0.75 | dt: 189.30ms | tok/sec: 692,401 | bf16_mfu: 30.68 | epoch: 1 pq: 0 rg: 8 | total time: 0.06m | eta: 1.3m
step 00030/00420 (7.14%) | loss: 7.380492 | lrm: 0.78 | dt: 162.03ms | tok/sec: 808,956 | bf16_mfu: 35.84 | epoch: 1 pq: 0 rg: 8 | total time: 0.06m | eta: 1.3m
step 00031/00420 (7.38%) | loss: 7.300882 | lrm: 0.80 | dt: 160.79ms | tok/sec: 815,165 | bf16_mfu: 36.12 | epoch: 1 pq: 0 rg: 8 | total time: 0.07m | eta: 1.2m
