Autodetected device type: cuda
2026-09-15 22:30:55,122 - nanochat.common - [32m[1mINFO[0m - Distributed world size: 1
COMPUTE_DTYPE: torch.bfloat16 (auto-detected: CUDA SM 86 (bf16 supported))
GPU: NVIDIA GeForce RTX 3090 | Peak FLOPS (BF16): 7.10e+13
2026-09-15 22:30:55,123 - nanochat.checkpoint_manager - [32m[1mINFO[0m - Loading model from /local/s4414268/nanochat/results/task2_models/vocab_32768/base_checkpoints/d2_bpb with step 420
2026-09-15 22:30:55,296 - nanochat.checkpoint_manager - [32m[1mINFO[0m - Building model with config: {'sequence_len': 2048, 'vocab_size': 32768, 'n_layer': 2, 'n_head': 1, 'n_kv_head': 1, 'n_embd': 128, 'window_pattern': 'SSSL'}
Inherited max_seq_len=2048 from pretrained checkpoint
Using device_batch_size=8
Inherited total_batch_size=131072 from pretrained checkpoint
Inherited embedding_lr=0.3 from pretrained checkpoint
Inherited unembedding_lr=0.008 from pretrained checkpoint
Inherited matrix_lr=0.02 from pretrained checkpoint
Tokens / micro-batch / rank: 8 x 2048 = 16,384
Tokens / micro-batch: 16,384
Total batch size 131,072 => gradient accumulation steps: 8
Scaling the LR for the AdamW parameters ∝1/√(128/768) = 2.449490
2026-09-15 22:30:56,556 - nanochat.checkpoint_manager - [32m[1mINFO[0m - Loading optimizer state from /local/s4414268/nanochat/results/task2_models/vocab_32768/base_checkpoints/d2_bpb/optim_000420_rank0.pt
Loaded optimizer state from pretrained checkpoint (momentum buffers only, LRs reset)
Training mixture: 329,418 rows (MMLU x3, GSM8K x4)
Validation mixture: 15,361 rows (MMLU + GSM8K)
Step 00000 | Validation bpb: 2.3915
step 00001 (0.11%) | loss: 4.011633 | lrm: 1.00 | dt: 10387.23ms | tok/sec: 12,618 | mfu: 0.56 | epoch: 1 | total time: 0.00m
step 00002 (0.21%) | loss: 6.572839 | lrm: 1.00 | dt: 160.85ms | tok/sec: 814,881 | mfu: 36.10 | epoch: 1 | total time: 0.00m
step 00003 (0.32%) | loss: 6.840937 | lrm: 1.00 | dt: 178.03ms | tok/sec: 736,246 | mfu: 32.62 | epoch: 1 | total time: 0.00m
step 00004 (0.42%) | loss: 6.530969 | lrm: 1.00 | dt: 157.01ms | tok/sec: 834,782 | mfu: 36.99 | epoch: 1 | total time: 0.00m
step 00005 (0.53%) | loss: 6.119877 | lrm: 1.00 | dt: 178.70ms | tok/sec: 733,490 | mfu: 32.50 | epoch: 1 | total time: 0.00m
step 00006 (0.63%) | loss: 5.649386 | lrm: 1.00 | dt: 160.55ms | tok/sec: 816,380 | mfu: 36.17 | epoch: 1 | total time: 0.00m
step 00007 (0.74%) | loss: 5.336950 | lrm: 1.00 | dt: 174.44ms | tok/sec: 751,390 | mfu: 33.29 | epoch: 1 | total time: 0.00m
step 00008 (0.84%) | loss: 5.094756 | lrm: 1.00 | dt: 159.93ms | tok/sec: 819,576 | mfu: 36.31 | epoch: 1 | total time: 0.00m
step 00009 (0.95%) | loss: 4.826976 | lrm: 1.00 | dt: 173.00ms | tok/sec: 757,659 | mfu: 33.57 | epoch: 1 | total time: 0.00m
step 00010 (1.06%) | loss: 4.657544 | lrm: 1.00 | dt: 170.68ms | tok/sec: 767,961 | mfu: 34.03 | epoch: 1 | total time: 0.00m
step 00011 (1.17%) | loss: 4.498779 | lrm: 1.00 | dt: 170.66ms | tok/sec: 768,021 | mfu: 34.03 | epoch: 1 | total time: 0.00m
step 00012 (1.28%) | loss: 4.346238 | lrm: 1.00 | dt: 169.37ms | tok/sec: 773,873 | mfu: 34.29 | epoch: 1 | total time: 0.01m
